272,"jmccay2",1,2002-06-11 11:41:48.513000000
273,"jenmac",1,2002-06-12 09:25:55.733000000
274,"jenmac",1,2002-06-12 09:32:14.500000000
275,"pmac",0,2002-06-30 20:22:11.310000000
276,"amac",1,2002-07-01 17:57:46.420000000
277,"amac",1,2002-07-01 18:01:16.013000000
278,"amac",1,2002-07-01 18:03:01.200000000
279,"david",1,2002-07-02 00:13:45.500000000
280,"amac",1,2002-07-02 08:22:04.090000000
281,"amac",1,2002-07-02 08:36:25.780000000
282,"test1",1,2002-07-02 09:06:06.840000000
283,"test1",1,2002-07-02 10:07:37.903000000
284,"test1",1,2002-07-02 10:12:13.200000000
285,"test1",1,2002-07-02 10:51:00.250000000
286,"jnhollis",1,2002-07-02 14:21:06.140000000
287,"jnhollis",1,2002-07-02 14:27:32.030000000
288,"test1",1,2002-07-02 14:43:29.750000000
289,"amac",0,2002-07-03 09:17:15.450000000
290,"amac",1,2002-07-03 09:17:29.843000000
291,"jim",1,2002-07-03 09:18:09.450000000
292,"jim",1,2002-07-03 09:56:53.763000000
293,"jim",1,2002-07-03 10:25:41.233000000
294,"jim",1,2002-07-03 10:43:13.590000000
295,"amac",0,2002-07-05 22:15:06.793000000
296,"pat",0,2002-07-05 22:15:27.390000000
297,"Blangford",0,2002-07-08 14:52:23.420000000
298,"pmac",0,2002-07-14 18:20:25.607000000
299,"jnhollis",1,2002-07-15 10:59:30.717000000
300,"david",1,2002-07-16 11:03:08.700000000
301,"jnhollis",1,2002-07-16 11:36:21.013000000
302,"jimc",0,2002-07-16 11:37:04.340000000
303,"jim",0,2002-07-16 11:37:11.590000000
304,"jim",1,2002-07-16 11:37:23.577000000
305,"david",1,2002-07-16 12:46:59.250000000
306,"david",1,2002-07-17 08:51:59.530000000
307,"david",1,2002-07-18 16:29:03.653000000
308,"david",1,2002-07-19 10:27:33.810000000
309,"david",1,2002-07-19 15:48:59.140000000
310,"david",1,2002-07-20 13:47:32.123000000
311,"david",1,2002-07-23 09:32:39.200000000
312,"jim",1,2002-07-25 22:59:25.750000000
313,"david",1,2002-07-26 09:56:07.310000000
314,"david",1,2002-07-30 11:42:01.450000000
315,"jmccay2",1,2002-08-02 10:36:28.153000000
316,"jmccay2",1,2002-08-09 23:39:19.873000000
317,"david",1,2002-08-13 17:00:13.577000000
318,"david",1,2002-08-14 19:33:28.890000000
319,"david",1,2002-08-15 10:46:22.513000000
320,"david",1,2002-08-15 15:01:57.483000000
321,"david",1,2002-08-16 09:22:13.247000000
322,"david",1,2002-08-17 13:00:46.950000000
323,"david",1,2002-08-17 13:37:07.217000000
324,"david",1,2002-08-17 15:04:42.390000000
325,"david",1,2002-08-18 14:35:29.060000000
326,"david",1,2002-08-18 14:41:08.047000000
327,"david",1,2002-08-18 17:21:39.140000000
328,"david",1,2002-08-25 09:53:18.873000000
329,"choward",1,2002-08-25 10:19:38.920000000
330,"jmccay2",1,2002-08-25 20:32:10.733000000
331,"david",1,2002-08-29 18:18:06.967000000
332,"adsf",0,2002-08-30 09:36:17.403000000
333,"david",1,2002-08-30 09:41:04.420000000
334,"david",1,2002-09-01 17:47:00.653000000
335,"david",1,2002-09-02 09:01:45.060000000
336,"david",1,2002-09-03 10:17:13.090000000
337,"david",1,2002-09-03 14:49:00.530000000
338,"david",1,2002-09-03 15:29:08.403000000
339,"david",1,2002-09-03 15:40:12.983000000
340,"david",1,2002-09-03 15:56:48.670000000
341,"choward",1,2002-09-03 16:24:18.170000000
342,"david",1,2002-09-03 16:28:33.733000000
343,"choward",1,2002-09-03 16:31:07.920000000
344,"choward",1,2002-09-03 16:50:41.327000000
345,"jimc",0,2002-09-03 23:13:40.340000000
346,"jclay",0,2002-09-03 23:13:51.920000000
347,"jim",1,2002-09-03 23:31:47.700000000
348,"david",1,2002-09-04 08:26:25.217000000
349,"jmccay2",1,2002-09-04 09:24:39.437000000
350,"david",1,2002-09-05 13:40:47.060000000
351,"jim",1,2002-09-06 23:29:09.967000000
352,"david",1,2002-09-09 08:37:42.950000000
353,"jmccay2",1,2002-09-09 10:47:45.950000000
354,"jim",1,2002-09-09 16:11:09.217000000
355,"jim",1,2002-09-09 16:52:55.653000000
356,"david",1,2002-09-10 19:36:22.077000000
357,"david",1,2002-09-11 12:18:27.187000000
358,"choward",1,2002-09-11 14:04:10.967000000
359,"david",1,2002-09-11 14:39:11.763000000
360,"david",1,2002-09-11 16:43:12.467000000
361,"david",1,2002-09-12 13:11:51.357000000
362,"david",1,2002-09-12 13:58:54.390000000
363,"david",1,2002-09-12 14:07:54.560000000
364,"david",1,2002-09-12 14:16:59.373000000
365,"david",1,2002-09-12 15:09:53.310000000
366,"david",1,2002-09-12 16:21:54.717000000
367,"david",1,2002-09-12 16:25:49.890000000
368,"david",1,2002-09-13 14:27:37.233000000
369,"david",1,2002-09-13 14:31:30.873000000
370,"david",1,2002-09-13 15:32:31.373000000
371,"david",1,2002-09-13 20:38:45.077000000
372,"david",1,2002-09-13 21:31:56.797000000
373,"david",1,2002-09-14 12:53:00.513000000
374,"david",1,2002-09-15 20:28:40.920000000
375,"david",1,2002-09-16 22:08:47.263000000
376,"david",1,2002-09-18 11:23:20.340000000
377,"david",1,2002-09-18 14:09:14.810000000
378,"choward",1,2002-09-18 14:09:42.577000000
379,"david",1,2002-09-18 20:04:00.403000000
380,"david",1,2002-09-18 21:05:39.857000000
381,"jim",1,2002-09-19 09:39:47.530000000
382,"david",1,2002-09-19 09:47:00.623000000
383,"david",1,2002-09-19 11:28:38.780000000
384,"david",1,2002-09-19 11:31:05.700000000
385,"david",1,2002-09-19 11:45:58.200000000
386,"david",1,2002-09-19 12:45:22.077000000
387,"choward",1,2002-09-19 12:47:11.950000000
388,"david",1,2002-09-19 12:47:49.653000000
389,"rick",1,2002-09-20 10:32:53.030000000
390,"kern",1,2002-09-20 10:33:08.653000000
391,"jim",1,2002-09-20 11:33:40.590000000
392,"choward",1,2002-09-23 11:26:51.873000000
393,"david",1,2002-09-23 11:28:51.437000000
394,"david",1,2002-09-23 15:31:26.327000000
